city_name,state,lat,long,State Code,County Code (FIPS)
Albany, NY,"	42.933334","	-76.566666",6,
Atlanta, GA," 	33.753746","	-84.386330",13,
Baltimore, MD," 	39.299236","	-76.609383",,
Boise, ID,"	43.618881","	-116.215019",,
Boston, MA," 	42.361145","	-71.057083",,
Buffalo, NY,"	42.880230","	-78.878738",,
Charlotte, NC," 	35.227085","	-80.843124",,45
Chicago, IL,"	41.881832","	-87.623177",,31
Cincinnati, OH,"	39.103119","	-84.512016",,
Columbus, OH,"	39.983334","	-82.983330",,
Dallas, TX,"	32.779167","	-96.808891",,
Denver, CO,"	39.742043","	-104.991531",,
Detroit, MI,"	42.331429","	-83.045753",,
Grand Rapids, MI,"	42.963795","	-85.670006",,
Harrisburg, PA,"	40.263680","	-76.890739",,
Hartford, CT,"	41.763710","	-72.685097",,
Houston, TX,"	29.749907","	-95.358421",,
Indianapolis, IN,"	39.791000","	-86.148003",,
Jacksonville, FL,"	30.332184","	-81.655647",,
Las Vegas, NV,"	36.114647","	-115.172813",,
Los Angeles, CA,"	34.052235","	-118.243683",,
Louisville, KY,"	38.328732","	-85.764771",,
Miami, FL,"	25.761681","	-80.191788",,
Nashville, TN,"	36.174465","	-86.767960",,
New Orleans, LA,"	29.951065","	-90.071533",,
New York City, NY,"	40.730610","	-73.935242",,
Orlando, FL,"	28.538336","	-81.379234",,
Philadelphia, PA,"	39.952583","	-75.165222",,
Phoenix, AZ,"	33.448376","	-112.074036",,
Pittsburgh, PA,"	40.440624","	-79.995888",42,42003
Portland, OR,"	45.523064","	-122.676483",41,41051
Raleigh, NC,"	35.787743","	-78.644257",37,37183
Richmond, VA,"	37.541290","	-77.434769",51,51760
Roanoke, VA,"	37.270969","	-79.941429",51,51770
Sacramento, CA,"	38.590576","	-121.489906",60,6067
San Diego, CA,"	32.715736","	-117.161087",60,6073
San Francisco, CA,"	37.773972","	-122.431297",60,6075
Seattle, WA,"	47.608013","	-122.335167",53,53033
Spokane, WA,"	47.658779","	-117.426048",53,53063
St. Louis, MO,"	38.627003","	-90.199402",29,29510Ê
Syracuse, NY,"	43.088947","	-76.154480",36,36067
Tampa, FL,"	27.964157","	-82.452606",12,12057